web-scraper-order,web-scraper-start-url,title,img-src,price
"1620172432-21","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Homesick Candle Scented, New York City, Jasmine","","14."
"1620172432-58","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Mrs. Meyer's Clean Day Scented Soy Aromatherapy Candle, 35 Hour Burn Time, Made with Soy Wax, Lavender, 7.2 oz","","14."
"1620172432-49","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade Candle Jar, Air Freshener, 2in1, Clean Linen & Sunny Days, 3.4 Oz","","14."
"1620172432-42","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade Candle Jar, Air Freshener, Hawaiian Breeze, 3.4 oz, 2 Count","","14."
"1620172432-64","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71P5hX8arJL._AC_UL320_.jpg","14."
"1620172432-34","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle 00609032519490 Scented Candle, Large Jar, Cream","","14."
"1620172432-107","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71kOLOfUbuL._AC_UL320_.jpg","14."
"1620172432-22","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Scented Candles for Home Scented Large 3 Wick Lavender Candle,14.5Oz 125 Hours Soy Wax, Aromatherapy Jar Candle Stress Relief Gifts for Women Teachers Gifts Black Mother's Day Gift","","14."
"1620172432-36","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Premium Bergamot & Jasmine Candle | Highly Scented Candles for Home | 8 oz 45 Hour Burn, Spring Candles, All Natural Soy Candles | Aromatherapy Bergamot Candles with Matte Black Glass Gift Box","","14."
"1620172432-62","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61dgi+8oTCL._AC_UL320_.jpg","14."
"1620172432-69","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71tr8BBsspL._AC_UL320_.jpg","14."
"1620172432-87","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71aVWH+Tn2L._AC_UL320_.jpg","14."
"1620172432-23","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle Large 2-Wick Tumbler Candle, Mediterranean Breeze","","14."
"1620172432-24","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Scented Aromatherapy Candles for Home, Long Lasting Jar Soy Candles, Candles for Relaxation, Gifts Set for Women Friends, Lavender & Cedar Teakwood","","14."
"1620172432-16","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Lulu Candles | Fresh Linen | Proudly Made in The USA | Highly Scented & Long Lasting Soy Jar Candle - 6 Oz. w/lid","","14."
"1620172432-106","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61Ph+OVITOL._AC_UL320_.jpg","14."
"1620172432-98","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61PcKRYWJlL._AC_UL320_.jpg","14."
"1620172432-46","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Winbattle Citronella Candles ,Coarse Pottery Container,Natural Soy Wax, Outdoor and Indoor …","","14."
"1620172432-40","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Capri Blue Candle - 19 Oz - Volcano - White","","14."
"1620172432-94","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71Oycb4ohsL._AC_UL320_.jpg","14."
"1620172432-73","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/61dTQgPk3xS._AC_UL320_.jpg","14."
"1620172432-19","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Yankee Candle 115471Z Large Jar Candle Sage & Citrus","","14."
"1620172432-51","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade 2in1 Jar Candle Air Freshener, Moonlit Walk & Wandering Stream, 2 candles, 6.8 oz","","14."
"1620172432-50","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Glade Fills Rooms With Essential Oil Infused Fragrance, 3.4 oz","","14."
"1620172432-108","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71Q1wyL4dPL._AC_UL320_.jpg","14."
"1620172432-60","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Citronella Candles Outdoor Indoor, 3 Pack 14.6 Oz Large 3 Wick Scented Jar Candles Set Aromatherapy Long Lasting Soy Wax for Summer Home Garden Patio Balcony","","14."
"1620172432-85","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/81jmQzDyAzL._AC_UL320_.jpg","14."
"1620172432-63","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71oKICYgxVL._AC_UL320_.jpg","14."
"1620172432-32","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","Sage Candles for Home Scented, Aromatherapy Lavender Candle, Soy Wax Candle Set 2 Pack, Women Mother's Day Gift with Strongly Fragrance Jar Candles","","14."
"1620172432-76","https://www.amazon.com/s?k=candle&ref=nb_sb_noss","","https://m.media-amazon.com/images/I/71n0In0KW+L._AC_UL320_.jpg","14."
